name,playcount,url,image
Lana Del Rey,8050,https://www.last.fm/music/lana%2bdel%2brey,
Arctic Monkeys,7114,https://www.last.fm/music/arctic%2bmonkeys,
Taylor Swift,2895,https://www.last.fm/music/taylor%2bswift,
Frank Ocean,2811,https://www.last.fm/music/frank%2bocean,
The Weeknd,2199,https://www.last.fm/music/the%2bweeknd,
Kendrick Lamar,1634,https://www.last.fm/music/kendrick%2blamar,
The Last Shadow Puppets,1624,https://www.last.fm/music/the%2blast%2bshadow%2bpuppets,
Tame Impala,1572,https://www.last.fm/music/tame%2bimpala,
The Smiths,1488,https://www.last.fm/music/the%2bsmiths,
Pritam,1367,https://www.last.fm/music/pritam,
Anirudh Ravichander,1232,https://www.last.fm/music/anirudh%2bravichander,
A.R. Rahman,997,https://www.last.fm/music/a.r.%2brahman,
TV Girl,823,https://www.last.fm/music/tv%2bgirl,
Billie Eilish,716,https://www.last.fm/music/billie%2beilish,
Arijit Singh,714,https://www.last.fm/music/arijit%2bsingh,
Atif Aslam,665,https://www.last.fm/music/atif%2baslam,
Shankar-Ehsaan-Loy,663,https://www.last.fm/music/shankar-ehsaan-loy,
Vishal-Shekhar,614,https://www.last.fm/music/vishal-shekhar,
Lorde,565,https://www.last.fm/music/lorde,
S. P. Balasubrahmanyam,519,https://www.last.fm/music/s.%2bp.%2bbalasubrahmanyam,
