title,artist,playcount,url
No. 1 Party Anthem,Arctic Monkeys,434,https://www.last.fm/music/arctic%2bmonkeys/_/no.%2b1%2bparty%2banthem
Fireside,Arctic Monkeys,423,https://www.last.fm/music/arctic%2bmonkeys/_/fireside
Stop the World I Wanna Get Off with You,Arctic Monkeys,405,https://www.last.fm/music/arctic%2bmonkeys/_/stop%2bthe%2bworld%2bi%2bwanna%2bget%2boff%2bwith%2byou
Knee Socks,Arctic Monkeys,403,https://www.last.fm/music/arctic%2bmonkeys/_/knee%2bsocks
Florida Kilos,Lana Del Rey,366,https://www.last.fm/music/lana%2bdel%2brey/_/florida%2bkilos
Mad Sounds,Arctic Monkeys,324,https://www.last.fm/music/arctic%2bmonkeys/_/mad%2bsounds
One for the Road,Arctic Monkeys,323,https://www.last.fm/music/arctic%2bmonkeys/_/one%2bfor%2bthe%2broad
Stargirl Interlude,The Weeknd,323,https://www.last.fm/music/the%2bweeknd/_/stargirl%2binterlude
Body Paint,Arctic Monkeys,318,https://www.last.fm/music/arctic%2bmonkeys/_/body%2bpaint
Love Is a Laserquest,Arctic Monkeys,313,https://www.last.fm/music/arctic%2bmonkeys/_/love%2bis%2ba%2blaserquest
West Coast,Lana Del Rey,294,https://www.last.fm/music/lana%2bdel%2brey/_/west%2bcoast
Miracle Aligner,The Last Shadow Puppets,280,https://www.last.fm/music/the%2blast%2bshadow%2bpuppets/_/miracle%2baligner
Piledriver Waltz,Arctic Monkeys,251,https://www.last.fm/music/arctic%2bmonkeys/_/piledriver%2bwaltz
You're So Dark,Arctic Monkeys,245,https://www.last.fm/music/arctic%2bmonkeys/_/you%2527re%2bso%2bdark
Reckless Serenade,Arctic Monkeys,240,https://www.last.fm/music/arctic%2bmonkeys/_/reckless%2bserenade
Cherry,Lana Del Rey,236,https://www.last.fm/music/lana%2bdel%2brey/_/cherry
Lovers Rock,TV Girl,236,https://www.last.fm/music/tv%2bgirl/_/lovers%2brock
There’d Better Be a Mirrorball,Arctic Monkeys,234,https://www.last.fm/music/arctic%2bmonkeys/_/there%25e2%2580%2599d%2bbetter%2bbe%2ba%2bmirrorball
Used to Be My Girl,The Last Shadow Puppets,233,https://www.last.fm/music/the%2blast%2bshadow%2bpuppets/_/used%2bto%2bbe%2bmy%2bgirl
I Want It All,Arctic Monkeys,227,https://www.last.fm/music/arctic%2bmonkeys/_/i%2bwant%2bit%2ball
"Sweet Dreams, TN",The Last Shadow Puppets,227,https://www.last.fm/music/the%2blast%2bshadow%2bpuppets/_/sweet%2bdreams%252c%2btn
Crying Lightning,Arctic Monkeys,225,https://www.last.fm/music/arctic%2bmonkeys/_/crying%2blightning
Vertigo,Mini Mansions,217,https://www.last.fm/music/mini%2bmansions/_/vertigo
Dracula Teeth,The Last Shadow Puppets,213,https://www.last.fm/music/the%2blast%2bshadow%2bpuppets/_/dracula%2bteeth
She's Thunderstorms,Arctic Monkeys,211,https://www.last.fm/music/arctic%2bmonkeys/_/she%2527s%2bthunderstorms
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",The Smiths,210,https://www.last.fm/music/the%2bsmiths/_/please%252c%2bplease%252c%2bplease%252c%2blet%2bme%2bget%2bwhat%2bi%2bwant%2b-%2b2011%2bremaster
I Ain’t Quite Where I Think I Am,Arctic Monkeys,208,https://www.last.fm/music/arctic%2bmonkeys/_/i%2bain%25e2%2580%2599t%2bquite%2bwhere%2bi%2bthink%2bi%2bam
In My Feelings,Lana Del Rey,207,https://www.last.fm/music/lana%2bdel%2brey/_/in%2bmy%2bfeelings
Yes I'm Changing,Tame Impala,201,https://www.last.fm/music/tame%2bimpala/_/yes%2bi%2527m%2bchanging
Nights,Frank Ocean,197,https://www.last.fm/music/frank%2bocean/_/nights
Pretty When You Cry,Lana Del Rey,196,https://www.last.fm/music/lana%2bdel%2brey/_/pretty%2bwhen%2byou%2bcry
Cornerstone,Arctic Monkeys,192,https://www.last.fm/music/arctic%2bmonkeys/_/cornerstone
Ultraviolence,Lana Del Rey,192,https://www.last.fm/music/lana%2bdel%2brey/_/ultraviolence
The Blonde,TV Girl,192,https://www.last.fm/music/tv%2bgirl/_/the%2bblonde
Biking,Frank Ocean,191,https://www.last.fm/music/frank%2bocean/_/biking
Gods & Monsters,Lana Del Rey,188,https://www.last.fm/music/lana%2bdel%2brey/_/gods%2b%2526%2bmonsters
White Ferrari,Frank Ocean,186,https://www.last.fm/music/frank%2bocean/_/white%2bferrari
Suck It and See,Arctic Monkeys,185,https://www.last.fm/music/arctic%2bmonkeys/_/suck%2bit%2band%2bsee
Ivy,Frank Ocean,184,https://www.last.fm/music/frank%2bocean/_/ivy
luther (with SZA),Kendrick Lamar,182,https://www.last.fm/music/kendrick%2blamar/_/luther%2b%2528with%2bsza%2529
Jet Skis on the Moat,Arctic Monkeys,177,https://www.last.fm/music/arctic%2bmonkeys/_/jet%2bskis%2bon%2bthe%2bmoat
Snap Out of It,Arctic Monkeys,177,https://www.last.fm/music/arctic%2bmonkeys/_/snap%2bout%2bof%2bit
Pink + White,Frank Ocean,177,https://www.last.fm/music/frank%2bocean/_/pink%2b%252b%2bwhite
Self Control,Frank Ocean,176,https://www.last.fm/music/frank%2bocean/_/self%2bcontrol
Love/Paranoia,Tame Impala,172,https://www.last.fm/music/tame%2bimpala/_/love%252fparanoia
Diet Mountain Dew,Lana Del Rey,171,https://www.last.fm/music/lana%2bdel%2brey/_/diet%2bmountain%2bdew
Cola,Lana Del Rey,170,https://www.last.fm/music/lana%2bdel%2brey/_/cola
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,167,https://www.last.fm/music/lana%2bdel%2brey/_/summer%2bbummer%2b%2528feat.%2ba%2524ap%2brocky%2b%2526%2bplayboi%2bcarti%2529
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",Kendrick Lamar,166,https://www.last.fm/music/kendrick%2blamar/_/dodger%2bblue%2b%2528feat.%2bwallie%2bthe%2bsensei%252c%2bsiete7x%252c%2broddy%2bricch%2529
R U Mine?,Arctic Monkeys,163,https://www.last.fm/music/arctic%2bmonkeys/_/r%2bu%2bmine%253f
